"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 21 18:41:28 GMT 2024","Mon Oct 21 18:41:28 GMT 2024","5","","FeedbackRepoSuite","","","","[Update] Update feedback",""
"passed","Mon Oct 21 18:40:46 GMT 2024","Mon Oct 21 18:40:46 GMT 2024","41","","CartServiceSuite","","","","[AddRacket] Create cart",""
"passed","Mon Oct 21 18:40:46 GMT 2024","Mon Oct 21 18:40:46 GMT 2024","116","","RacketServiceSuite","","","","[UpdateRacket] wrong ID",""
"passed","Mon Oct 21 18:40:46 GMT 2024","Mon Oct 21 18:40:46 GMT 2024","105","","RacketServiceSuite","","","","[UpdateRacket] correct request",""
"passed","Mon Oct 21 18:40:46 GMT 2024","Mon Oct 21 18:40:46 GMT 2024","71","","AuthServiceSuite","","","","[GetCartByID] no existed cart",""
"passed","Mon Oct 21 18:40:46 GMT 2024","Mon Oct 21 18:40:46 GMT 2024","18","","OrderServiceSuite","","","","[GetAllOrders1] get all orders",""
"passed","Mon Oct 21 18:41:28 GMT 2024","Mon Oct 21 18:41:28 GMT 2024","23","","OrderRepoSuite","","","","[GetAllOrders] Get all orders",""
"passed","Mon Oct 21 18:40:46 GMT 2024","Mon Oct 21 18:40:46 GMT 2024","74","","CartServiceSuite","","","","[AddRacket] add new racket",""
"passed","Mon Oct 21 18:41:28 GMT 2024","Mon Oct 21 18:41:28 GMT 2024","15","","FeedbackRepoSuite","","","","[GetFeedback] Get feedback",""
"passed","Mon Oct 21 08:06:17 GMT 2024","Mon Oct 21 08:06:17 GMT 2024","25","","UserSuite","","","","[Integration GetUserByID] Incorrect ID",""
"passed","Mon Oct 21 18:41:28 GMT 2024","Mon Oct 21 18:41:28 GMT 2024","13","","FeedbackRepoSuite","","","","[Create] Create feedback",""
"passed","Mon Oct 21 18:41:28 GMT 2024","Mon Oct 21 18:41:28 GMT 2024","68","","CartRepoSuite","","","","[RemoveRacket] Remove racket to cart",""
"passed","Mon Oct 21 18:40:46 GMT 2024","Mon Oct 21 18:40:46 GMT 2024","34","","CartServiceSuite","","","","[UpdateRacket] subtract racket quantity",""
"passed","Mon Oct 21 18:40:46 GMT 2024","Mon Oct 21 18:40:46 GMT 2024","131","","RacketServiceSuite","","","","[GetAllRackets] get rackets",""
