"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","65","[GetUserByID] Get user by id","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","UserRepoSuite","",""
"","6","[GetCartByID] no existed cart","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","AuthServiceSuite","",""
"","11","[GetUserByID] Incorrect ID","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","UserServiceSuite","",""
"","35","[GetAllRackets] Get all rackets","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","RacketRepoSuite","",""
"","91","[UpdateOrderStatus] correct order id","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","OrderServiceSuite","",""
"","32","[Create] Create racket","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","RacketRepoSuite","",""
"","52","[Login] Correct password","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","AuthServiceSuite","",""
"","7","[GetMyOrders] Get my orders","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","OrderRepoSuite","",""
"","68","[GetFeedbacksByUserID] Incorrect user ID","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","FeedbackServiceSuite","",""
"","14","[GetAllUsers] Correct","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","UserServiceSuite","",""
"","9","[GetCartByID] Get cart by id","","Thu Oct 03 10:20:53 MSK 2024","passed","Thu Oct 03 10:20:53 MSK 2024","","CartRepoSuite","",""
